dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;20.0;0.8378378378378378;0.911764705882353
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;21.0;0.8285714285714286;0.90625
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;22.0;0.8235294117647058;0.9032258064516128
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;23.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;24.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;25.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;26.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;27.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;28.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;29.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;30.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;31.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;32.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;33.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;34.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;35.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;36.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;37.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;38.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;39.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;33% 33% 33%;40.0;0.0;0.0
